"Longitude","Latitude","Date","Survey_Type"
-77.01064,0.93245,2017-04-30,"transect"
-77.01827,0.95766,2015-11-21,"transect"
-77.04757,0.92081,2011-04-15,"transect"
-77.04492,0.93281,2013-02-11,"transect"
-77.0217,0.94942,2016-02-06,"transect"
-77.03401,0.9282,2015-11-14,"transect"
-77.06004,0.9128,2016-12-03,"transect"
-77.02232,0.90771,2012-09-18,"transect"
-77.03604,0.91511,2020-02-24,"transect"
-77.02856,0.94287,2014-03-16,"transect"
-77.01064,0.94772,2016-02-02,"transect"
-77.05147,0.92541,2012-02-04,"transect"
-77.03199,0.91996,2014-10-11,"transect"
-77.04305,0.93414,2015-12-02,"transect"
-77.00752,0.95002,2014-04-12,"transect"
-77.01827,0.94869,2019-06-09,"transect"
-77.01609,0.94057,2016-07-03,"transect"
-77.00674,0.95196,2015-07-26,"transect"
-77.03775,0.91147,2012-06-19,"transect"
-77.05443,0.91596,2018-10-05,"transect"
-77.00767,0.94917,2018-09-16,"transect"
-77.03791,0.92541,2011-07-31,"transect"
-77.06004,0.9139,2014-10-24,"transect"
-77.01562,0.91911,2012-05-13,"transect"
-77.03728,0.94142,2015-03-25,"transect"
-77.03838,0.91572,2014-12-28,"transect"
-77.06269,0.91086,2013-02-07,"transect"
-77.03199,0.9202,2017-02-02,"transect"
-77.00923,0.94154,2010-10-20,"transect"
-77.0351,0.92772,2017-07-05,"transect"
-77.04695,0.92954,2014-03-27,"transect"
-77.03495,0.90638,2013-10-14,"transect"
-77.00689,0.95196,2017-04-16,"transect"
-77.00736,0.93487,2019-07-07,"transect"
-77.01562,0.94833,2015-12-20,"transect"
-77.02606,0.93281,2010-11-20,"transect"
-77.03261,0.9236,2015-07-28,"transect"
-77.03697,0.90965,2013-04-02,"transect"
-77.01812,0.94202,2015-10-08,"transect"
-77.00705,0.95014,2014-11-27,"transect"
-77.04134,0.92663,2019-06-25,"transect"
-77.03869,0.9128,2016-12-01,"transect"
-77.04118,0.91584,2011-01-09,"transect"
-77.0231,0.91584,2015-07-13,"transect"
-77.05489,0.91523,2013-06-22,"transect"
-77.02497,0.93366,2018-05-12,"transect"
-77.01204,0.94299,2018-04-07,"transect"
-77.00892,0.94542,2014-02-28,"transect"
-77.00627,0.95293,2015-04-19,"transect"
-77.05552,0.91487,2016-10-05,"transect"
-77.01593,0.95511,2019-03-09,"transect"
-77.01749,0.94457,2014-07-12,"transect"
-77.02809,0.91244,2010-05-23,"transect"
-77.05895,0.91474,2014-11-02,"transect"
-77.0337,0.91972,2015-02-11,"transect"
-77.02232,0.95681,2018-10-13,"transect"
-77.01266,0.94154,2015-10-14,"transect"
-77.04866,0.91535,2017-07-07,"transect"
-77.01064,0.93342,2017-12-06,"transect"
-77.01032,0.94275,2013-09-17,"transect"
-77.0351,0.91863,2018-12-14,"transect"
-77.06082,0.91062,2012-03-27,"transect"
-77.02404,0.90577,2019-09-05,"transect"
-77.02061,0.9379,2013-05-23,"transect"
-77.01625,0.94711,2014-01-17,"transect"
-77.01749,0.93414,2013-01-13,"transect"
-77.03308,0.90541,2014-02-23,"transect"
-77.02045,0.94881,2015-07-01,"transect"
-77.04601,0.92554,2016-03-27,"transect"
-77.02669,0.92069,2010-08-25,"transect"
-77.01952,0.93778,2020-02-23,"transect"
-77.03635,0.91123,2011-09-12,"transect"
-77.02825,0.91244,2012-03-14,"transect"
-77.03245,0.93778,2018-06-01,"transect"
-77.00736,0.93511,2011-05-28,"transect"
-77.02591,0.93002,2015-03-19,"transect"
-77.05443,0.91572,2011-03-16,"transect"
-77.02482,0.94978,2010-12-01,"transect"
-77.01438,0.90698,2019-07-13,"transect"
-77.01827,0.9379,2019-06-06,"transect"
-77.01422,0.94845,2012-12-26,"transect"
-77.00627,0.95039,2018-09-08,"transect"
-77.051,0.92129,2016-09-22,"transect"
-77.02482,0.90395,2018-12-16,"transect"
-77.03884,0.91305,2011-02-28,"transect"
-77.06674,0.90711,2014-08-21,"transect"
-77.03401,0.92796,2018-02-22,"transect"
-77.01328,0.92832,2015-05-12,"transect"
-77.01266,0.92202,2013-12-13,"transect"
-77.00799,0.93827,2010-02-12,"transect"
-77.03386,0.90723,2018-08-10,"transect"
-77.04336,0.92711,2020-03-14,"transect"
-77.01734,0.92335,2017-01-05,"transect"
-77.01702,0.95208,2010-06-26,"transect"
-77.02419,0.90516,2010-05-17,"transect"
-77.01251,0.92541,2015-10-07,"transect"
-77.0164,0.92493,2014-11-07,"transect"
-77.063,0.91014,2014-01-29,"transect"
-77.0178,0.93887,2017-05-30,"transect"
-77.027,0.92735,2017-01-13,"transect"
-77.01547,0.95026,2010-01-25,"transect"
-77.05209,0.91693,2015-01-07,"transect"
-77.05271,0.9242,2010-04-24,"transect"
-77.00674,0.95026,2010-08-13,"transect"
-77.05863,0.91268,2016-04-20,"transect"
-77.03464,0.90565,2010-08-30,"transect"
-77.03386,0.91462,2013-12-01,"transect"
-77.0136,0.94845,2018-10-06,"transect"
-77.01843,0.94142,2011-07-14,"transect"
-77.01718,0.94808,2014-12-15,"transect"
-77.03417,0.90347,2011-08-06,"transect"
-77.02762,0.9185,2015-06-30,"transect"
-77.03838,0.90335,2016-07-22,"transect"
-77.02965,0.95026,2017-04-02,"transect"
-77.02404,0.90711,2019-12-14,"transect"
-77.00783,0.95123,2017-05-04,"transect"
-77.05302,0.91729,2018-03-02,"transect"
-77.02186,0.95705,2016-03-02,"transect"
-77.01905,0.93645,2018-11-22,"transect"
-77.02778,0.90407,2019-03-12,"transect"
-77.05147,0.91353,2018-12-12,"transect"
-77.06331,0.91135,2019-09-17,"transect"
-77.03557,0.93996,2017-12-16,"transect"
-77.02451,0.93378,2015-11-01,"transect"
-77.02217,0.9048,2020-04-11,"transect"
-77.03557,0.90395,2010-11-28,"transect"
-77.0298,0.94348,2018-03-22,"transect"
-77.04196,0.91596,2017-08-22,"transect"
-77.02373,0.90698,2014-12-26,"transect"
-77.03464,0.90322,2016-09-08,"transect"
-77.04321,0.92287,2018-04-12,"transect"
-77.03074,0.94663,2014-04-28,"transect"
-77.02591,0.91014,2015-12-23,"transect"
-77.02965,0.94214,2011-08-21,"transect"
-77.01266,0.93851,2018-09-21,"transect"
-77.0418,0.93681,2010-06-17,"transect"
-77.01531,0.94663,2010-11-08,"transect"
-77.03214,0.90335,2020-03-08,"transect"
-77.05754,0.91365,2018-09-23,"transect"
-77.01079,0.95014,2015-10-31,"transect"
-77.03697,0.91244,2018-07-29,"transect"
-77.02092,0.94917,2019-02-01,"transect"
-77.03791,0.92529,2011-01-10,"transect"
-77.05536,0.91511,2015-05-31,"transect"
-77.03744,0.92942,2019-03-18,"transect"
-77.02622,0.94869,2016-05-09,"transect"
-77.02497,0.90456,2014-08-11,"transect"
-77.05115,0.92032,2016-03-17,"transect"
-77.03339,0.94154,2019-05-13,"transect"
-77.02139,0.93196,2013-05-25,"transect"
-77.00752,0.95123,2011-01-30,"transect"
-77.01515,0.9413,2015-03-24,"transect"
-77.04461,0.91741,2015-08-23,"transect"
-77.02217,0.94154,2012-11-27,"transect"
-77.00378,0.95281,2018-03-21,"transect"
-77.04258,0.93063,2012-01-18,"transect"
-77.02825,0.9362,2012-12-13,"transect"
-77.03651,0.94142,2015-10-09,"transect"
-77.01656,0.95208,2012-05-29,"transect"
-77.02497,0.90783,2018-05-14,"transect"
-77.01484,0.9499,2020-03-26,"transect"
-77.03728,0.93827,2017-10-08,"transect"
-77.0203,0.93802,2010-07-02,"transect"
-77.02264,0.92687,2013-04-20,"transect"
-77.01593,0.95269,2018-02-14,"transect"
-77.01765,0.95087,2018-07-14,"transect"
-77.05225,0.92469,2019-07-26,"transect"
-77.02669,0.92481,2016-10-24,"transect"
-77.03713,0.90371,2015-10-20,"transect"
-77.00315,0.95317,2013-02-13,"transect"
-77.03245,0.93766,2016-02-07,"transect"
-77.06144,0.91123,2015-04-14,"transect"
-77.02061,0.93002,2010-01-30,"transect"
-77.04882,0.91887,2010-06-22,"transect"
-77.00736,0.93778,2016-12-09,"transect"
-77.00284,0.90419,2018-09-06,"transect"
-77.00767,0.94845,2018-09-03,"transect"
-77.03339,0.93754,2011-06-29,"transect"
-77.02778,0.9299,2014-09-06,"transect"
-77.03822,0.93863,2019-10-20,"transect"
-77.05957,0.91183,2020-01-20,"transect"
-77.00128,0.95196,2018-11-26,"transect"
-77.0164,0.95329,2011-05-27,"transect"
-77.01921,0.94857,2016-02-11,"transect"
-77.01671,0.95099,2015-04-12,"transect"
-77.06113,0.91293,2014-05-30,"transect"
-77.03822,0.93851,2017-11-11,"transect"
-77.02419,0.90735,2016-10-30,"transect"
-77.01578,0.94978,2013-03-07,"transect"
-77.00705,0.95245,2015-03-30,"transect"
-77.03993,0.92069,2014-12-06,"transect"
-77.03541,0.9185,2013-05-10,"transect"
-77.0164,0.91887,2019-07-17,"transect"
-77.06128,0.9105,2013-04-19,"transect"
-77.01905,0.90662,2017-02-20,"transect"
-77.0178,0.90698,2013-10-08,"transect"
-77.06206,0.91171,2018-08-11,"transect"
-77.05754,0.91353,2013-03-08,"transect"
-77.05162,0.9219,2010-01-04,"transect"
-77.06923,0.90614,2016-04-09,"transect"
-77.027,0.91474,2014-02-18,"transect"
-77.03666,0.90917,2010-07-26,"transect"
-77.02373,0.94566,2014-12-17,"transect"
-77.00845,0.94093,2016-02-09,"transect"
-77.01812,0.9179,2014-04-06,"transect"
-77.01874,0.94699,2016-09-23,"transect"
-77.01734,0.90698,2019-09-13,"transect"
-77.04788,0.91899,2015-05-22,"transect"
-77.02341,0.95632,2013-09-18,"transect"
-77.04741,0.92372,2010-06-21,"transect"
-77.06799,0.90747,2011-05-20,"transect"
-77.00721,0.95002,2013-01-01,"transect"
-77.05926,0.91341,2012-05-18,"transect"
-77.05302,0.91644,2013-06-11,"transect"
-77.04118,0.92299,2011-02-07,"transect"
-77.00269,0.95317,2017-01-24,"transect"
-77.01734,0.93645,2015-05-24,"transect"
-77.01687,0.94602,2011-11-21,"transect"
-77.01095,0.94614,2016-01-09,"transect"
-77.00534,0.95305,2016-10-19,"transect"
-77.03495,0.91487,2016-10-07,"transect"
-77.02466,0.93827,2017-12-24,"transect"
-77.03884,0.9128,2012-11-15,"transect"
-77.01687,0.95123,2015-06-21,"transect"
-77.02419,0.90614,2014-07-04,"transect"
-77.05131,0.91717,2010-03-30,"transect"
-77.02684,0.95172,2016-06-25,"transect"
-77.02965,0.93572,2015-06-09,"transect"
-77.02918,0.93123,2020-02-14,"transect"
-77.02045,0.93257,2015-05-07,"transect"
-77.01734,0.94845,2012-10-07,"transect"
-77.01032,0.92893,2012-07-26,"transect"
-77.05053,0.9179,2016-06-13,"transect"
-77.0697,0.9065,2017-06-23,"transect"
-77.02279,0.91717,2014-12-02,"transect"
-77.01656,0.95317,2017-10-21,"transect"
-77.01734,0.9436,2010-12-21,"transect"
-77.05817,0.91147,2014-05-07,"transect"
-77.02653,0.92614,2013-10-21,"transect"
-77.01095,0.92796,2015-05-16,"transect"
-77.02139,0.93172,2018-07-30,"transect"
-77.03931,0.93196,2018-01-28,"transect"
-77.02373,0.91596,2019-04-11,"transect"
-77.04056,0.92541,2010-12-19,"transect"
-77.03354,0.93451,2011-04-26,"transect"
-77.02139,0.92251,2013-04-03,"transect"
-77.02232,0.93548,2020-02-22,"transect"
-77.03541,0.94239,2019-06-22,"transect"
-77.01702,0.94214,2013-12-14,"transect"
-77.04212,0.93099,2019-03-31,"transect"
-77.04243,0.92226,2015-10-17,"transect"
-77.05053,0.92166,2012-10-29,"transect"
-77.00814,0.95099,2014-02-21,"transect"
-77.06253,0.91038,2017-09-02,"transect"
-77.02934,0.91414,2019-01-18,"transect"
-77.00861,0.94966,2017-05-23,"transect"
-77.01017,0.94299,2010-07-12,"transect"
-77.01064,0.9413,2015-11-25,"transect"
